Gene.symbol,P.Value,logFC,Cell Line
TCEAL6,3.44e-07,-1.17015499,BAS
GBP3,7.52e-07,-1.16985616,BAS
IGF1R,4.39e-07,-1.16886712,BAS
ANKRD28,3.88e-07,-1.16839663,BAS
ANXA8,4.9e-07,-1.16813521,BAS
BMP1,1.51e-07,-1.16691986,BAS
ELN,3.7e-07,-1.16631326,BAS
COL4A1,2.72e-06,-1.16523994,BAS
ELAC1,1.5e-06,-1.16421592,BAS
SEL1L3,3.55e-07,-1.16387193,BAS
PELI2,1.84e-07,-1.16258914,BAS
OSTM1,6.41e-08,-1.16169618,BAS
DPY19L2,0.000116,-1.15865222,BAS
REXO5,9.41e-07,-1.15850109,BAS
FAM111A,1.83e-07,-1.15771051,BAS
IL6ST,1.97e-07,-1.15631446,BAS
CPEB4,1.77e-06,-1.15576134,BAS
GLUL,1.06e-06,-1.15493602,BAS
FAR2,1.91e-07,-1.15332938,BAS
NR1D1,1.25e-07,-1.15325235,BAS
DKK2,1.25e-06,-1.15250401,BAS
PSG4,2.07e-07,-1.15020138,BAS
ATP6V0B,3.16e-07,-1.14874701,BAS
LPCAT1,1.27e-07,-1.14798321,BAS
PALS1,1.64e-07,-1.14794095,BAS
KCTD7,2.71e-06,-1.14539635,BAS
MANBA,1.17e-06,-1.14525967,BAS
IFRD1,4.33e-07,-1.14428548,BAS
UAP1L1,3.27e-07,-1.14303903,BAS
FNBP1L,2.32e-07,-1.14226075,BAS
SRI,2.96e-07,-1.14055352,BAS
TMSB4X,4.1e-07,-1.13754704,BAS
FIBCD1,8.48e-07,-1.13721382,BAS
TCEAL9,1.37e-07,-1.13700949,BAS
RXRA,6.39e-07,-1.13343067,BAS
COL12A1,2.73e-07,-1.1330378,BAS
MYLIP,5.2e-07,-1.1320365,BAS
CCNE2,1.85e-07,-1.13187883,BAS
TNFRSF10B,9.38e-07,-1.13136491,BAS
UBE2L6,7.84e-07,-1.13101939,BAS
RPS6KA2,2.21e-07,-1.13055728,BAS
NR1D2,5.28e-07,-1.12587756,BAS
ABCA5,9.29e-07,-1.12558081,BAS
SULF1,2.14e-06,-1.12464622,BAS
TMEM60,3.15e-07,-1.12142258,BAS
CCNG1,5.07e-07,-1.1211324,BAS
MAP3K14,4.77e-06,-1.11666205,BAS
EEF1A2,1.65e-06,-1.11618679,BAS
FAS,5.7e-07,-1.115849,BAS
CREBL2,4.37e-07,-1.11453081,BAS
GPR155,4.04e-07,-1.11403581,BAS
VAMP1,1.71e-06,-1.1117141,BAS
ZNF32,8.62e-07,-1.11157086,BAS
PARVA,6.22e-07,-1.11059182,BAS
CLU,2.14e-06,-1.11020071,BAS
PXDC1,7.65e-07,-1.10895792,BAS
TBXAS1,1.2e-06,-1.10858777,BAS
PDK4,4.45e-07,-1.10766442,BAS
ARSB,3.89e-07,-1.1063035,BAS
ALDH1L1,3.52e-06,-1.10516831,BAS
PANK1,2.92e-07,-1.10488942,BAS
FAM102B,1.46e-06,-1.10316468,BAS
WNT5A,6.45e-07,-1.1028394,BAS
SCARB2,1.52e-06,-1.10216827,BAS
GAS6-AS1,6.92e-07,-1.10146152,BAS
MTARC2,3.38e-07,-1.09962138,BAS
C12orf57,1.13e-06,-1.09943251,BAS
RAB3B,1.19e-06,-1.09878231,BAS
KATNAL1,1.33e-06,-1.09664331,BAS
TTC7B,2.04e-07,-1.09568538,BAS
HCFC1R1,2.02e-06,-1.09392767,BAS
RFLNB,2.61e-06,-1.09141987,BAS
VPS36,4.02e-07,-1.09125602,BAS
SERPINE2,4.04e-07,-1.08589329,BAS
SLC7A2,7.64e-07,-1.08301948,BAS
PLCB1,3.9e-06,-1.08011148,BAS
FBLN5,4.13e-07,-1.07782517,BAS
CTBS,2.57e-07,-1.07736621,BAS
ADGRG2,7.65e-07,-1.07714974,BAS
IFITM1,1.18e-06,-1.07639601,BAS
HGSNAT,1.34e-06,-1.07472155,BAS
DNAJB4,2.58e-07,-1.0739244,BAS
SMAD7,3.16e-06,-1.07150181,BAS
DPY19L1,6.89e-07,-1.07107767,BAS
TCEAL4,6.53e-07,-1.07078033,BAS
P4HTM,1.6e-05,-1.07071839,BAS
ZFAND2A,1.18e-06,-1.06971631,BAS
BTG2,3.35e-05,-1.06938864,BAS
ARHGAP31,3.86e-06,-1.06907026,BAS
SMPD1,8.81e-07,-1.06867902,BAS
SPATA18,2.8e-07,-1.06863545,BAS
MEGF9,1.51e-06,-1.06747788,BAS
TYMS,3.96e-07,-1.06595149,BAS
CD200,4.19e-07,-1.06574776,BAS
FBXO43,8.27e-06,-1.06526296,BAS
ST7L,3.78e-07,-1.06513952,BAS
RCBTB1,4.44e-07,-1.0650678,BAS
PITX2,1.3e-06,-1.06455345,BAS
VOPP1,8.93e-07,-1.06394255,BAS
EML1,2.23e-05,-1.06301684,BAS
STAG3L4,4.85e-06,-1.06289145,BAS
CAVIN2,7.32e-07,-1.06260227,BAS
OXCT1,4.27e-07,-1.06185986,BAS
TMEM14C,9.85e-07,-1.06172375,BAS
ARHGAP20,9.11e-06,-1.06165793,BAS
TEAD1,5.4e-07,-1.06156169,BAS
CENPF,3.42e-06,-1.06005579,BAS
POLR3GL,2.16e-06,-1.05962167,BAS
CDKN3,6.34e-07,-1.05959795,BAS
SAMD12,8.44e-06,-1.05952988,BAS
ACKR3,1.95e-06,-1.05933016,BAS
ANKH,4.26e-07,-1.05867775,BAS
AMTN,2.73e-06,-1.0564479,BAS
PGRMC2,7.43e-07,-1.05581818,BAS
EDARADD,1.42e-06,-1.05580727,BAS
SLC4A11,0.000149,-1.05569381,BAS
PAWR,8.32e-07,-1.05535916,BAS
SLC15A4,4.6e-07,-1.0553023,BAS
FAM50A,1.82e-06,-1.05432644,BAS
CMTM8,1.7e-06,-1.05412995,BAS
C1R,8.81e-07,-1.0526393,BAS
DAP,1.78e-06,-1.05143964,BAS
SPECC1L,4.26e-07,-1.05127403,BAS
HNMT,9.84e-07,-1.04925807,BAS
ALDH6A1,2.37e-06,-1.04917283,BAS
PGPEP1,1.47e-06,-1.04881826,BAS
SWAP70,1.14e-06,-1.04816811,BAS
TNFAIP3,1.33e-05,-1.04754181,BAS
SLC2A6,7.08e-06,-1.04720382,BAS
CHN1,3.41e-06,-1.04716644,BAS
B3GLCT,3.45e-07,-1.04667153,BAS
SYT11,4.02e-06,-1.04623005,BAS
HK1,8.66e-07,-1.04538091,BAS
PSTPIP2,1.85e-06,-1.04394166,BAS
TOM1,1.89e-06,-1.04231693,BAS
MYBL1,7.82e-06,-1.0413123,BAS
DNAI3,5.64e-07,-1.04102038,BAS
GNE,9.41e-07,-1.04006281,BAS
LIMK2,1.93e-06,-1.03945382,BAS
NQO2,4.57e-07,-1.03760141,BAS
TRIOBP,3.82e-06,-1.03739427,BAS
ASPRV1,1.52e-06,-1.03694678,BAS
PLAC8,2.27e-06,-1.03661796,BAS
AK3,1.47e-06,-1.03555037,BAS
RASGRF1,4.48e-05,-1.03427627,BAS
MAP3K5,1.61e-05,-1.03283608,BAS
KLF4,2.01e-06,-1.03216401,BAS
ACO1,9.81e-07,-1.03211194,BAS
IDS,3.86e-06,-1.03187889,BAS
HEXB,3.46e-06,-1.03115277,BAS
TRIP11,3e-06,-1.03085509,BAS
N4BP2L1,1.8e-05,-1.03080237,BAS
FNDC3B,1.82e-06,-1.03077647,BAS
PCSK1,6.66e-06,-1.02841333,BAS
CRISPLD1,2.81e-06,-1.02828094,BAS
ANKRD10,3.01e-06,-1.02762357,BAS
KCNH1,3.43e-06,-1.02748463,BAS
LIX1L,1.39e-06,-1.02727665,BAS
PCM1,4.35e-06,-1.02716507,BAS
ZNRF2,5.68e-07,-1.026863,BAS
TSPAN12,1.57e-06,-1.02650714,BAS
SLC43A3,2.33e-06,-1.02510346,BAS
KIAA0513,1.41e-06,-1.02477207,BAS
NDUFB1,1.1e-06,-1.02458213,BAS
SCNN1G,5.58e-06,-1.02450888,BAS
GNG12,2.61e-06,-1.02268278,BAS
CYB5R1,1.8e-05,-1.02236396,BAS
SLC2A13,5.29e-05,-1.02113964,BAS
PRR4,8.12e-07,-1.020901,BAS
ATG10,1.31e-06,-1.01915619,BAS
GP1BB,1.14e-06,-1.0187145,BAS
SH3BP2,4.52e-06,-1.018599,BAS
TG,3.31e-05,-1.01808066,BAS
PDLIM5,4.38e-06,-1.01793668,BAS
CCDC80,1.06e-06,-1.01780946,BAS
SSBP2,8.15e-07,-1.01766507,BAS
KCNAB2,5.45e-06,-1.01498598,BAS
SLCO3A1,1.09e-06,-1.01480975,BAS
THTPA,2.49e-06,-1.01398137,BAS
ZC3H6,2.88e-06,-1.01379721,BAS
FNIP1,1.24e-06,-1.01281681,BAS
SIPA1L2,1.4e-06,-1.01265274,BAS
DNAJC4,8.12e-07,-1.01056671,BAS
ACSS1,2.88e-05,-1.00933694,BAS
APBB3,2.03e-05,-1.0091943,BAS
CYTH3,5.34e-07,-1.00842809,BAS
THRB,2.59e-05,-1.00781392,BAS
UTRN,1.57e-05,-1.00688306,BAS
TUSC1,1.32e-06,-1.00685695,BAS
GRAMD1C,6.16e-06,-1.00636799,BAS
RECK,3.12e-06,-1.00561941,BAS
MTARC1,2.91e-06,-1.00506083,BAS
TCP11L1,2.79e-06,-1.00427553,BAS
CNKSR2,5.23e-05,-1.00337391,BAS
TMEM63A,1.44e-05,-1.00226231,BAS
TBX3,2.19e-06,-1.00018777,BAS
KIAA0319L,2.52e-06,-0.99996884,BAS
ACYP2,6.02e-07,-0.99931857,BAS
CLDN16,0.00014,-0.9962765,BAS
LRRC51,2.59e-06,-0.99578086,BAS
ATP6V1E1,4.8e-07,-0.99384693,BAS
PMAIP1,3.31e-05,-0.9934262,BAS
ATP8B3,9.18e-06,-0.99304278,BAS
PRKACB,5.99e-07,-0.99299496,BAS
MSANTD4,5.06e-06,-0.99298706,BAS
TMCO4,3.56e-06,-0.99268095,BAS
TK2,4.27e-06,-0.99246583,BAS
NPC2,1.73e-06,-0.9922451,BAS
SGCE,1.01e-06,-0.99155593,BAS
AKR1B1,2.28e-06,-0.99150798,BAS
ARGLU1,5.42e-06,-0.9910749,BAS
EGLN1,9.66e-07,-0.99044899,BAS
C2CD3,2.66e-06,-0.98932114,BAS
GLI3,7.78e-06,-0.9892676,BAS
VCL,7.66e-06,-0.98859992,BAS
IGF2R,2.83e-05,-0.98709898,BAS
HMGCL,1.4e-06,-0.98652948,BAS
KIAA1217,3.26e-06,-0.98631768,BAS
TCTA,7.73e-06,-0.98489783,BAS
FGFR1,7.46e-06,-0.98482296,BAS
EVA1C,5.7e-07,-0.98424686,BAS
RSRP1,3.19e-06,-0.98282355,BAS
DHRS13,1.71e-05,-0.98232858,BAS
NUCB2,1.39e-06,-0.98208045,BAS
PTX3,2.39e-05,-0.98189167,BAS
ACER2,1.62e-05,-0.98142708,BAS
NQO1,1.06e-06,-0.9808209,BAS
PALM2AKAP2,8.79e-06,-0.9797836,BAS
LMF2,5.4e-06,-0.97875446,BAS
DAB2,8.02e-07,-0.9785297,BAS
EIF4E3,3.32e-06,-0.97839735,BAS
MSI1,4.58e-06,-0.97771076,BAS
CHST3,8.24e-05,-0.97762918,BAS
DMRTA1,1.71e-05,-0.97672758,BAS
HNRNPA1L2,3.21e-05,-0.97536198,BAS
POMT1,1.08e-05,-0.97441984,BAS
EFHC1,1.77e-06,-0.97415567,BAS
HSD17B7,7.53e-06,-0.97371662,BAS
NRP1,2.56e-06,-0.97241713,BAS
CCL28,0.000521,-0.97127838,BAS
NRSN2,3.11e-06,-0.9711695,BAS
NACC2,1.28e-06,-0.97107338,BAS
MYOF,5.3e-06,-0.97080294,BAS
OLFML2A,3.8e-06,-0.96943517,BAS
IFIT2,2.48e-06,-0.96939558,BAS
BIN1,6.24e-06,-0.96917914,BAS
VAMP2,1.39e-06,-0.96720768,BAS
TMEM245,6.27e-06,-0.96704095,BAS
POLH,5.6e-06,-0.96541594,BAS
ASPM,8.85e-06,-0.96501164,BAS
TNFAIP2,6.55e-06,-0.96425463,BAS
SMOC1,9.93e-06,-0.96402264,BAS
PPP1R3E,2.25e-05,-0.96382484,BAS
CCDC93,5.94e-05,-0.96374522,BAS
SARM1,6.65e-05,-0.96330992,BAS
CTIF,3.4e-06,-0.96300986,BAS
SERPINE1,6.98e-06,-0.96281497,BAS
TTYH3,6.09e-05,-0.96236689,BAS
C1GALT1C1,3.02e-06,-0.96211997,BAS
BPGM,1.41e-06,-0.96164091,BAS
GLIS3,4.61e-05,-0.96032282,BAS
ZCCHC24,3.91e-05,-0.96025206,BAS
SLC25A27,3.23e-05,-0.95978732,BAS
FHL2,5.04e-06,-0.95930114,BAS
SH3BGRL,2.64e-06,-0.95898248,BAS
CHCHD7,2.34e-05,-0.95885846,BAS
CNRIP1,5.03e-06,-0.95825675,BAS
ADGRG6,0.000137,-0.95815503,BAS
CKLF,3.41e-06,-0.95774085,BAS
STXBP1,7.83e-06,-0.95727664,BAS
GPR137B,0.000102,-0.95580049,BAS
BBS9,1.68e-06,-0.95521778,BAS
CLIP1,1.84e-06,-0.95489899,BAS
RGS17,1.08e-06,-0.9541357,BAS
FAM120AOS,6.35e-06,-0.95298798,BAS
SLC2A11,9.86e-06,-0.95261637,BAS
PTGFR,7.42e-06,-0.95205102,BAS
GTF2IRD2,2.26e-06,-0.95195481,BAS
RIPK1,1.07e-06,-0.9515737,BAS
CEMIP2,6.58e-05,-0.95084325,BAS
CD83,6.27e-06,-0.95003241,BAS
CD59,1.08e-05,-0.94974827,BAS
TBC1D2B,1.46e-05,-0.94876391,BAS
CES1,9.21e-06,-0.94756105,BAS
XRCC3,3.08e-06,-0.9469443,BAS
ADAM9,2.2e-05,-0.94601028,BAS
THBS1,2.13e-05,-0.94556616,BAS
CTSO,6.28e-06,-0.94551504,BAS
STX11,4.68e-05,-0.94498849,BAS
CAMK2D,2e-05,-0.94467344,BAS
AGA,2.36e-05,-0.94438209,BAS
SLC25A35,2.46e-05,-0.9443642,BAS
CGRRF1,7.64e-06,-0.94387745,BAS
IFIH1,1.38e-05,-0.94382947,BAS
AMIGO2,5.31e-06,-0.94381479,BAS
PSG5,5.56e-06,-0.94245638,BAS
SEPTIN4,2.69e-05,-0.94234253,BAS
NHLRC3,2.45e-05,-0.94208511,BAS
JAK1,6.93e-06,-0.94170776,BAS
ZNF76,3.31e-05,-0.94150771,BAS
STAU2,7.08e-06,-0.94094501,BAS
RADX,3e-06,-0.94091078,BAS
GSTM2,1.62e-05,-0.94064575,BAS
ZBTB14,1.4e-06,-0.93885924,BAS
MYL9,3.02e-06,-0.93802097,BAS
KLC1,9.16e-06,-0.9379157,BAS
HOXA10,1.06e-05,-0.93768174,BAS
LIF,8.48e-06,-0.93737574,BAS
DSEL,2.7e-05,-0.93674629,BAS
MITF,6.63e-06,-0.9366386,BAS
LRRC8A,2.35e-06,-0.9366248,BAS
KYAT1,1.43e-05,-0.9354957,BAS
DEGS1,6.48e-06,-0.93432581,BAS
KLHL22,0.000147,-0.93423821,BAS
ZNF415,4.07e-06,-0.93390229,BAS
CALD1,2.29e-06,-0.93367025,BAS
HMMR,1.26e-05,-0.93315731,BAS
FAM3C,6.28e-06,-0.93282724,BAS
ZNF704,9.92e-05,-0.9325872,BAS
PIGV,2.8e-06,-0.9320119,BAS
MXD4,4.08e-06,-0.93113857,BAS
CREB3L2,2.72e-05,-0.93053252,BAS
KLHL21,2.1e-06,-0.93023292,BAS
L3HYPDH,1.2e-05,-0.92917662,BAS
SRGAP2,2.52e-05,-0.92899767,BAS
F8A2,9.64e-06,-0.92782195,BAS
NFIA,3.73e-06,-0.92748651,BAS
GNG2,1.94e-06,-0.92740215,BAS
BORCS7,7.02e-06,-0.9265362,BAS
PSMB8-AS1,2.53e-05,-0.92625784,BAS
SEPTIN11,4.72e-06,-0.92534295,BAS
CLMN,7.73e-05,-0.92463982,BAS
CAP2,4.36e-06,-0.92433808,BAS
MGST3,6e-06,-0.92430563,BAS
XPC,1.67e-05,-0.92409837,BAS
ARHGDIB,1.73e-05,-0.92398202,BAS
ABL2,8.56e-06,-0.92211388,BAS
HSPB11,6.87e-06,-0.92165947,BAS
SYNC,3.48e-06,-0.92081591,BAS
ETNK2,0.000193,-0.92078357,BAS
COA1,4.95e-06,-0.92052588,BAS
ZG16B,1.05e-05,-0.92035001,BAS
PTCHD4,5.61e-06,-0.92013819,BAS
SPAG1,1.73e-05,-0.91946133,BAS
C18orf32,3.52e-06,-0.91925402,BAS
USP18,3.18e-05,-0.91885455,BAS
COMMD10,5.31e-06,-0.91840502,BAS
SUGCT,1.25e-05,-0.91684142,BAS
FOXF1,5.63e-06,-0.91638002,BAS
NDC80,1.33e-05,-0.91544794,BAS
ERRFI1,1.53e-05,-0.91538505,BAS
RNF213,1.87e-05,-0.91529052,BAS
TRPV4,1.73e-05,-0.91525113,BAS
SLC17A5,0.000173,-0.91500802,BAS
TLR6,3.88e-05,-0.91464715,BAS
PTPN21,1.1e-05,-0.91420253,BAS
PDGFRL,1.75e-05,-0.91410615,BAS
AKT3,1.74e-05,-0.91287106,BAS
ZMIZ2,0.000149,-0.91278031,BAS
DCUN1D2,2.92e-05,-0.91272538,BAS
DPP7,4.92e-06,-0.91272231,BAS
CRIP2,3.93e-05,-0.91226329,BAS
STX3,1.09e-05,-0.91167289,BAS
ZDHHC4,1.51e-05,-0.91117484,BAS
MACROD1,1.58e-05,-0.91041196,BAS
ZNF732,6.25e-05,-0.91007335,BAS
BNIP3L,6.57e-06,-0.90996821,BAS
CREB3,7.14e-06,-0.90910172,BAS
TRAK2,1.31e-05,-0.90873926,BAS
RNF185,3.52e-05,-0.90791109,BAS
ECE1,1.84e-05,-0.90788489,BAS
AGGF1,6.56e-06,-0.90653334,BAS
SESTD1,2.64e-06,-0.90630238,BAS
OSBPL3,1.51e-05,-0.90538986,BAS
ZNF425,7.88e-05,-0.90507327,BAS
NCEH1,2.32e-05,-0.9048629,BAS
TDRD7,8.16e-06,-0.90424866,BAS
TBC1D9,0.000294,-0.90420244,BAS
CYRIA,1.32e-05,-0.90196366,BAS
TTLL5,2.16e-05,-0.90192936,BAS
SCNN1B,5.57e-05,-0.90142474,BAS
HOXA-AS3,5.53e-05,-0.90044586,BAS
NPC1,9.06e-06,-0.89948569,BAS
TLCD5,0.000192,-0.89888266,BAS
SEC61A2,0.000788,-0.89814864,BAS
CCDC82,1.77e-05,-0.89769769,BAS
NNT,2.53e-06,-0.89646801,BAS
AMACR,4.88e-06,-0.89643108,BAS
PKP2,6.38e-06,-0.89630164,BAS
TMEM45A,3.23e-05,-0.89486268,BAS
NUAK2,1.24e-05,-0.89403665,BAS
SLC7A8,1.32e-05,-0.89402546,BAS
COMMD3-BMI1,4.04e-05,-0.89386105,BAS
CNN3,6.16e-06,-0.89341436,BAS
OTUD7B,0.000146,-0.89235626,BAS
SH3GLB2,6.55e-06,-0.89139921,BAS
PSAP,2.31e-05,-0.89074137,BAS
KBTBD7,3.98e-05,-0.8905854,BAS
TRIM44,6.49e-06,-0.88856284,BAS
FGGY,0.000103,-0.88826758,BAS
PEA15,1.01e-05,-0.88780845,BAS
CCDC90B,7.01e-06,-0.88772538,BAS
ZBTB10,1.92e-05,-0.88765625,BAS
VTI1A,8.7e-06,-0.88734052,BAS
MMP16,3.57e-05,-0.88733791,BAS
RELL1,1.59e-05,-0.88719091,BAS
NKX2-5,8.12e-06,-0.88559308,BAS
LYPLAL1,1.33e-05,-0.88546941,BAS
TRPM7,5.33e-06,-0.88537301,BAS
CFL2,1.1e-05,-0.88494101,BAS
RB1,6.43e-06,-0.88476062,BAS
PCDHGC3,5.98e-05,-0.88296919,BAS
FAM102A,6.99e-06,-0.88294495,BAS
BCL2,0.000124,-0.87955785,BAS
GNA12,2.32e-05,-0.87744502,BAS
CDC42BPA,3.22e-05,-0.87704478,BAS
TMEM139,5.2e-05,-0.87671755,BAS
SASH1,1.76e-05,-0.87567983,BAS
DIAPH3,1.13e-05,-0.87437821,BAS
GAS2L3,3.79e-06,-0.87434405,BAS
ZSWIM8,2.58e-05,-0.87345942,BAS
PLD1,8.93e-06,-0.87297958,BAS
SESN1,5.88e-05,-0.87297667,BAS
CACNB2,1.51e-05,-0.87287678,BAS
AKIP1,9.77e-06,-0.87265882,BAS
EVL,2.37e-05,-0.87232198,BAS
STIM1,5.66e-06,-0.87229503,BAS
FLRT2,2.94e-05,-0.87193906,BAS
PAPLN,7.56e-05,-0.87177945,BAS
RSPH3,0.000181,-0.87082782,BAS
NUAK1,8.16e-05,-0.87061099,BAS
TMEM106C,1.18e-05,-0.87037077,BAS
ME3,4.09e-06,-0.86991531,BAS
MICB,1.12e-05,-0.8691592,BAS
LRRC8B,8.14e-05,-0.86912748,BAS
CAMK1D,2.03e-05,-0.86902525,BAS
IKBIP,4.87e-06,-0.86879399,BAS
MYOM1,2.82e-05,-0.86774029,BAS
TMEM222,1.65e-05,-0.86695797,BAS
PTAR1,5.11e-05,-0.86693616,BAS
CERK,1.73e-05,-0.86671363,BAS
ARSA,1.1e-05,-0.86602001,BAS
AIFM2,2.92e-05,-0.86581268,BAS
DCAKD,1.49e-05,-0.86578696,BAS
NEK9,9.96e-06,-0.86495115,BAS
HCN3,4.23e-05,-0.86473555,BAS
RNFT2,1.61e-05,-0.8644956,BAS
GMPR,5.01e-05,-0.86441372,BAS
HPSE,3.97e-05,-0.86410123,BAS
P3H1,1.29e-05,-0.86335479,BAS
IDNK,1.53e-05,-0.86327279,BAS
KCNJ2,3.34e-05,-0.86269978,BAS
DTX3L,7.56e-06,-0.86235731,BAS
RNF115,5.4e-06,-0.86212592,BAS
C7orf25,4.18e-06,-0.86114565,BAS
HMGN3,8.2e-06,-0.86073236,BAS
PRKAR1A,0.000171,-0.86051157,BAS
CKAP2,1.98e-05,-0.86035091,BAS
C9orf72,0.000329,-0.85863335,BAS
TMEM106B,1.25e-05,-0.85844459,BAS
ATP6AP2,1.45e-05,-0.85799395,BAS
NRGN,3.1e-05,-0.85763422,BAS
ALDH5A1,5.79e-06,-0.85673219,BAS
SH3RF1,7.41e-06,-0.85623571,BAS
FBXL17,3.15e-05,-0.85610978,BAS
MAN2B2,1.33e-05,-0.85586707,BAS
TMEM255A,0.000164,-0.85519528,BAS
RCOR3,9.04e-05,-0.85213523,BAS
KLHL7,0.000105,-0.85213378,BAS
DDX60L,5.9e-05,-0.85132889,BAS
KCNIP3,0.000211,-0.8494805,BAS
SLC27A2,9.9e-05,-0.8477802,BAS
PPP4R3A,4.67e-05,-0.84621326,BAS
RTN3,2.98e-05,-0.84607757,BAS
PDE3A,0.000356,-0.84607361,BAS
PELO,7.83e-05,-0.84453046,BAS
NPDC1,3.88e-05,-0.84429884,BAS
SHISA4,6.67e-05,-0.84413934,BAS
PSMB8,1.03e-05,-0.84298131,BAS
TXNDC15,1.05e-05,-0.84243131,BAS
GARNL3,0.000117,-0.842426,BAS
KCNK2,1.72e-05,-0.8419647,BAS
PRCP,1.85e-05,-0.84125816,BAS
IFI27L1,9.04e-05,-0.84114754,BAS
HRCT1,2.3e-05,-0.84110489,BAS
MRNIP,5.08e-05,-0.84108571,BAS
HABP4,0.00015,-0.84047648,BAS
ZXDB,2.23e-05,-0.84017574,BAS
GALNT7,3.37e-05,-0.83954378,BAS
TTC13,5.31e-05,-0.83948047,BAS
CDKN1B,2.03e-05,-0.83912098,BAS
ACKR2,7.54e-05,-0.83893349,BAS
PHTF2,1.67e-05,-0.83880565,BAS
RIT1,1.16e-05,-0.83784029,BAS
ARPIN,6.67e-05,-0.83758286,BAS
PHF19,3.3e-05,-0.83663253,BAS
DUSP23,0.000105,-0.83637284,BAS
APOO,7.15e-06,-0.83592568,BAS
CEL,2.16e-05,-0.83523387,BAS
PCSK6,8.37e-06,-0.83500153,BAS
EXOC6,0.000315,-0.83484034,BAS
LCE1D,0.000612,-0.83470125,BAS
NMNAT1,2.92e-05,-0.83362503,BAS
GPR176,0.000191,-0.8331768,BAS
KIF18A,1.33e-05,-0.83268664,BAS
CYSTM1,7.34e-05,-0.83233302,BAS
ZNF79,9.1e-05,-0.8323105,BAS
CERS6,2.78e-05,-0.83206041,BAS
DHCR24,5.53e-05,-0.83195624,BAS
MARCKS,3.68e-05,-0.83186,BAS
DDB1,2.11e-05,-0.83157161,BAS
ZNF658,0.000429,-0.83150696,BAS
ZNF483,0.00034,-0.83125804,BAS
RRAGC,1.07e-05,-0.82958532,BAS
SRGAP2B,2.88e-05,-0.82946746,BAS
MAFK,7.63e-06,-0.82939805,BAS
IRF9,2.9e-05,-0.82896409,BAS
ARID5B,1.21e-05,-0.82894239,BAS
SPIN2B,8.35e-05,-0.82862503,BAS
NUMA1,4.05e-05,-0.82840528,BAS
GTF2A1,1.73e-05,-0.82822879,BAS
ABCA1,6.67e-05,-0.82756724,BAS
PADI1,6.23e-05,-0.82724557,BAS
DDX58,8.83e-05,-0.82653363,BAS
IER5,2.69e-05,-0.82555889,BAS
EYA2,0.000411,-0.82416974,BAS
SPART,9.14e-06,-0.82387134,BAS
ERMP1,8.97e-06,-0.82322229,BAS
LCA5,2.8e-05,-0.82251724,BAS
S100A3,7.63e-05,-0.82237127,BAS
SLC29A2,0.000813,-0.82170431,BAS
ERGIC1,2.51e-05,-0.82133023,BAS
RNF165,0.0018,-0.82099762,BAS
BACE1,1.42e-05,-0.82032575,BAS
DSC3,3.87e-05,-0.82020363,BAS
NAAA,2.97e-05,-0.81961088,BAS
TMEM138,4.06e-05,-0.81935944,BAS
IPP,1.06e-05,-0.81929694,BAS
ZFYVE1,8.63e-06,-0.81867311,BAS
SLC16A10,7.45e-05,-0.8175069,BAS
SLC35E3,4.58e-05,-0.81664757,BAS
ZNF367,0.000493,-0.81634494,BAS
SLC2A9,2.4e-05,-0.81629951,BAS
IFITM10,5.15e-05,-0.81607411,BAS
GRHL3,3.65e-05,-0.81524909,BAS
ZIC5,3.45e-05,-0.81494053,BAS
DYNC1H1,1.64e-05,-0.81487644,BAS
ING4,2.88e-05,-0.81421597,BAS
TUT7,0.000114,-0.81338835,BAS
ANKRD12,0.000261,-0.81293179,BAS
RAB31,4.75e-05,-0.81279783,BAS
PRSS12,1.4e-05,-0.81267322,BAS
DGLUCY,2.01e-05,-0.81225946,BAS
SNX13,1.88e-05,-0.81079701,BAS
ZNF559-ZNF177,4.1e-05,-0.81061065,BAS
USP40,1.86e-05,-0.8101826,BAS
SLITRK5,0.0014,-0.81003384,BAS
SRGAP2C,2.93e-05,-0.8100069,BAS
CYB5D2,5.79e-05,-0.80991539,BAS
EPHA2,1.11e-05,-0.80983892,BAS
ATP6V0E2,8.08e-05,-0.80967014,BAS
SACS,0.000128,-0.80952389,BAS
MACF1,1.65e-05,-0.80941681,BAS
ZDHHC2,0.00176,-0.80926973,BAS
UBE2D4,5.47e-05,-0.80877569,BAS
TTC28,0.000424,-0.80877157,BAS
IL18,5.57e-05,-0.80725671,BAS
PHPT1,4.06e-05,-0.80722746,BAS
DEAF1,2.98e-05,-0.8068444,BAS
NAIP,0.000538,-0.80653572,BAS
NEURL1B,2.01e-05,-0.80630725,BAS
SNAP29,5.45e-05,-0.80551448,BAS
KRCC1,0.000139,-0.80514489,BAS
PTBP2,0.000118,-0.80495662,BAS
WNT5B,3.15e-05,-0.80484378,BAS
CD109,4.31e-05,-0.80452371,BAS
DDX60,2.81e-05,-0.80437912,BAS
DNAJC1,3.13e-05,-0.80419941,BAS
HADH,1.07e-05,-0.80373766,BAS
FGL1,1.92e-05,-0.80349997,BAS
TBC1D1,5.75e-05,-0.80291604,BAS
FAM210B,3.38e-05,-0.80205775,BAS
POLA1,2.55e-05,-0.80201596,BAS
LATS2,2.86e-05,-0.80127134,BAS
UPF3B,3.08e-05,-0.80098223,BAS
URGCP,1.35e-05,-0.80051549,BAS
